word,context,pmi
zavedení,příspěvku,14.599157367535655
Peter,Carrington,14.277229272648293
pražském,hotelu,13.791802445478051
starých,struktur,13.599157367535655
SE,NA,13.599157367535655
deník,The,13.599157367535655
vojenského,materiálu,13.599157367535655
teplota,minus,13.469874350590688
platební,bilance,13.469874350590688
Hamburger,SV,13.429232366093343
R.,Maxwella,13.429232366093343
nějak,mění,13.429232366093343
Č.,Budějovice,13.277229272648293
silniční,doprava,13.277229272648293
snížení,nákladů,13.277229272648293
Tomáš,Ježek,13.139725748898359
vojenských,jednotek,13.014194866814499
vojenských,akcí,13.014194866814499
jaderné,zbraně,13.014194866814499
zavedení,obchodních,13.014194866814499
osobních,obětí,13.014194866814499
Johna,Newcomba,13.014194866814499
Milan,Máčala,13.014194866814499
JE,NA,13.014194866814499
noční,teploty,12.984447523420448
Jan,Kalvoda,12.95530117776093
ŠKP,Bratislava,12.947080670955962
The,New,12.898717649394563
Los,Angeles,12.898717649394563
strategické,koncepce,12.86219177336945
zemědělských,družstev,12.844269865372187
lidských,práv,12.821549788872103
původně,řídit,12.791802445478051
pravomoci,veřejného,12.791802445478051
akciových,společností,12.791802445478051
pražského,hotelu,12.791802445478051
dosti,silně,12.791802445478051
série,ATP,12.791802445478051
městského,zastupitelstva,12.791802445478051
mimořádně,důležité,12.791802445478051
Svaz,mladých,12.791802445478051
Nový,šéf,12.692266771927137
silniční,dopravy,12.692266771927137
touto,firmou,12.692266771927137
nově,náklady,12.692266771927137
jaderných,zbraní,12.65162478742979
původně,jmenoval,12.599157367535655
stejný,příspěvek,12.599157367535655
dát,n,12.599157367535655
výrobců,postižených,12.599157367535655
zahájení,kupónové,12.569410024141604
Německý,pohár,12.554763248177201
Lidových,novin,12.554763248177201
pracovních,míst,12.536147570009854
Lidové,noviny,12.528768039644257
hudební,agentura,12.469874350590688
turnajové,série,12.451258672423341
duchovní,péči,12.429232366093343
mého,soudu,12.429232366093343
můj,německý,12.429232366093343
Ivana,Čarnogurského,12.429232366093343
a.s.,OKD,12.429232366093343
národním,poháru,12.429232366093343
plné,míře,12.376764946199208
FC,Barcelona,12.35122985409207
Petr,Pithart,12.35122985409207
privatizačních,projektů,12.341769524843004
výrazně,nižší,12.277229272648293
hospodářských,zařízení,12.277229272648293
nynější,revoluce,12.277229272648293
americký,tým,12.277229272648293
tímto,vývojem,12.277229272648293
tie,break,12.277229272648293
veřejného,mínění,12.213726330342135
staré,struktury,12.206839944756895
Ján,Čarnogurský,12.206839944756895
PRO,Jiřího,12.206839944756895
malých,obcí,12.206839944756895
soukromých,domácích,12.206839944756895
pana,Maxwella,12.206839944756895
vlastních,příjmů,12.206839944756895
pochopitelně,chybí,12.206839944756895
příslušníků,StB,12.206839944756895
úvodní,výstava,12.206839944756895
oficiálně,odešel,12.206839944756895
vody,poblíž,12.206839944756895
letošní,sezónu,12.206839944756895
jasně,řečeno,12.184119868256811
poptávky,veřejného,12.139725748898359
soukromého,zahraničního,12.139725748898359
