,word A,word B,loss,total mi
0,P4FS1----------,P4YS1----------,0.0005248824181806788,2.4061969231318376
1,P4NS1----------,P4FP1----------,0.0008142658559791597,2.4056720407136574
2,NNFXX-----A---8,Cn-S1----------,0.0008375765788038753,2.404857774857678
3,PQ--4----------,PQ--1----------,0.0010001250156269532,2.4040201982788734
4,Db------------8,NNMXX-----A---8,0.001167925241316133,2.4030200732632463
5,Cn-P2----------,ClXP2----------,0.0012734463548820323,2.40185214802193
6,CrFS1----------,VpQW---XR-AA--1,0.001393330044721419,2.400578701667048
7,AAIP7----1A----,AAMP7----1A----,0.0015001875234404351,2.399185371622327
8,PDXP2----------,PP-P2--1-------,0.0015168555018106554,2.397685184098887
9,VpYS---XR-AA--1,AAIS3----1A----,0.001532569593456209,2.3961683285970756
10,C}-------------,NNIXX-----A---8,0.0015498041001318144,2.3946357590036187
11,VsNS---XX-AP---,AAXXX----1A----,0.0016189908417087574,2.393085954903487
12,VpTP---XR-AA--1,ClHP1----------,0.0017502187773471675,2.3914669640617783
13,PDZS3----------,NNMP3-----A----,0.0017511032823228781,2.3897167452844306
14,VpNS---XR-NA---,Dg-------2A----,0.0018525105436242916,2.387965642002108
15,ClFS1----------,PDFS1----------,0.0018690220956154985,2.386113131458484
16,PP-P4--1-------,Db------------1,0.0019058772968916762,2.3842441093628692
17,AAMP4----1A----,Cn-S4----------,0.001953275565410379,2.3823382320659774
18,"J,-X---3-------",PQ--4----------,0.002013117303333117,2.380384956500567
19,PDZS6----------,AAIS6----1A----,0.002030839082791825,2.378371839197234
20,AANS3----1A----,RV--3----------,0.0020319342081270573,2.376341000114442
21,P4FS1----------,P4NS1----------,0.002183060044381376,2.3743090659063153
22,PDZS2----------,NNFPX-----A----,0.002185570286094241,2.372126005861934
23,PSXXXXP3-------,AGFS1-----A----,0.0022502812851606484,2.3699404355758396
24,NNNP6-----A----,NNIS6-----A---1,0.0022642057293783984,2.3676901542906785
25,NNFXX-----A---8,Db------------8,0.00226536498834858,2.3654259485613
26,NNFP3-----A----,NNIP3-----A----,0.002345791956124491,2.363160583572951
