,word A,word B,loss,total mi
0,listopadu,OKD,0.003083269679309833,7.5579642207814635
1,který,které,0.0033738533738386775,7.554880951102151
2,státu,J,0.004025469551221362,7.551507097728312
3,musí,bude,0.004422152935165146,7.547481628177087
4,aby,ale,0.004604358224104737,7.543059475241923
5,bylo,nás,0.004647629297009206,7.538455117017819
6,si,pouze,0.004992033285278181,7.533807487720808
7,už,mezi,0.005000625078134786,7.528815454435529
8,&slash;,NATO,0.005561973371130529,7.523814829357403
9,ze,jeho,0.005564965527577179,7.518252855986274
10,však,být,0.005743502537787236,7.512687890458697
11,byl,jsou,0.005750718839854962,7.5069443879209095
12,?,před,0.0060007500937616825,7.501193669081053
13,jako,budou,0.0062507813476684985,7.49519291898729
14,Na,listopadu,0.006392241353892932,7.48894213763962
15,zákona,při,0.00690028185140235,7.482549896285726
16,u,za,0.007556757128493538,7.475649614434319
17,státu,ČSFR,0.007604054493371511,7.468092857305815
18,aby,který,0.007741722351558048,7.4604888028124465
19,včera,bylo,0.007768675181722432,7.452747080460889
20,od,už,0.008790818570638737,7.444978405279165
21,musí,však,0.010211489857351368,7.4361875867085265
22,si,byl,0.01021518275763817,7.425976096851177
23,pro,po,0.010251281410176293,7.415760914093543
24,V,Na,0.010521638598616587,7.40550963268336
25,ze,to,0.011671664260760207,7.394987994084742
26,ve,&slash;,0.011812754718798979,7.3833163298239874
27,jako,?,0.012487130091201329,7.371503575105186
28,aby,že,0.01312530920096836,7.359016445013986
29,zákona,k,0.013300457497882792,7.345891135813019
30,včera,by,0.014888859032793541,7.3325906783151416
31,u,do,0.015909949928932014,7.317701819282347
32,státu,),0.016598384072694747,7.301791869353414
33,je,i,0.016814436086526684,7.285193485280706
34,:,pro,0.018074583700848336,7.26837904919418
35,musí,od,0.018166667359091313,7.250304465493337
36,ve,z,0.020810390038168015,7.232137798134245
37,si,(,0.02123519941582625,7.211327408096078
38,jako,s,0.024140941888099707,7.190092208680238
39,ze,zákona,0.02439305893820911,7.165951266792145
40,V,"""",0.025957578044381143,7.141558207853935
41,včera,je,0.0289468174524722,7.115600629809564
42,musí,u,0.03295398001318175,7.0866538123570955
43,:,-,0.03468228866542827,7.053699832343902
44,ve,státu,0.037617066042973074,7.019017543678451
45,o,si,0.04327473522886723,6.981400477635483
46,jako,ze,0.04754992088513811,6.938125742406638
47,aby,včera,0.05014600623749208,6.890575821521481
48,na,se,0.053649985918387544,6.840429815283989
49,ve,V,0.058535280714395996,6.786779829365585
50,:,musí,0.06916048694843831,6.728244548651183
51,v,o,0.0733152020419942,6.6590840617028055
52,jako,a,0.08679702696272919,6.585768859660798
53,na,aby,0.09656657429811832,6.49897183269804
54,:,ve,0.12657007498963638,6.402405258399915
55,v,jako,0.14992320881386847,6.275835183410196
56,",",na,0.17447070257057595,6.125911974596318
57,:,.,0.2150545199588636,5.951441272025762
58,v,",",0.2947800633904098,5.736386752067053
59,:,v,0.4597660523627244,5.441606688676709
