,word A,word B,loss,total mi
0,WP$,RBR,0.00021893989181066614,0.8833168327193147
1,WP$,JJR,0.00034888337197446097,0.883097892827504
2,SYM,NNPS,0.0008193622508581403,0.8827490094555291
3,PRP,EX,0.001084710042694986,0.8819296472046709
4,FW,NNP,0.0012185934086711037,0.8808449371619765
5,(,.,0.0013169373706564396,0.8796263437533055
6,WP,"""",0.0013896680065684532,0.8783094063826494
7,JJS,JJ,0.0017369103238663245,0.876919738376081
8,WP$,RBS,0.002107605907917654,0.8751828280522145
9,WRB,WP,0.0023076309715684747,0.8730752221442973
10,PRP$,DT,0.0026539106901843678,0.8707675911727285
11,JJS,CD,0.0032880131132933706,0.8681136804825441
12,SYM,FW,0.0036495516228265182,0.8648256673692507
13,WRB,WDT,0.006007121057711875,0.8611761157464242
14,",",:,0.005947107169658797,0.8551689946887123
15,VBD,VBN,0.0061993383556487695,0.8492218875190538
16,VBZ,VBP,0.0069754699364340126,0.8430225491634052
17,WP$,JJS,0.008532300284386521,0.8360470792269711
18,NN,NNS,0.009149213501060623,0.8275147789425842
19,WRB,VBG,0.011348070425409282,0.8183655654415234
20,(,",",0.015369873792384012,0.8070174950161138
21,WRB,CC,0.01912963133464086,0.7916476212237299
22,MD,TO,0.026204196250109536,0.772517989889089
23,SYM,PRP,0.0300536323003047,0.7463137936389797
24,RB,VBD,0.030873286810821746,0.7162601613386748
25,VB,VBZ,0.03292958503131957,0.6853868745278532
26,WRB,SYM,0.03689142535306705,0.6524572894965338
27,WRB,MD,0.03930191605121825,0.6155658641434667
28,VB,RB,0.040471254041613336,0.5762639480922485
29,WRB,VB,0.053952576273549636,0.5357926940506351
30,WRB,(,0.08058638916593219,0.4818401177770853
31,WP$,PRP$,0.07991537216913029,0.40125372861115327
32,WRB,IN,0.09845339877721557,0.321338356442023
33,WP$,WRB,0.1913338261891424,0.22288495766480748
34,WP$,NN,0.03155113147566502,0.03155113147566502
