,word A,word B,loss,total mi
0,case,subject,0.0021968411387180376,4.996336755075341
1,may,cannot,0.002669473195248787,4.994139913936623
2,individuals,structure,0.0026751435455560696,4.991470440741375
3,there,It,0.0034798353498711725,4.988795297195821
4,less,even,0.0036560960742388414,4.98531546184595
5,variation,nature,0.00369141204672064,4.981659365771709
6,see,shall,0.003898283141534047,4.977967953724987
7,slight,short,0.003906127328145578,4.974069670583453
8,certain,distinct,0.003992655875896279,4.970163543255306
9,manner,such,0.004241939523557963,4.966170887379409
10,must,can,0.004263460731611458,4.96192894785585
11,case,state,0.004277198598594156,4.957665487124239
12,differ,what,0.0042993323572400564,4.953388288525645
13,cases,),0.004456992680885496,4.949088956168404
14,me,only,0.004478586690182538,4.944631963487517
15,how,nearly,0.004540771818290193,4.940153376797332
16,domestic,domesticated,0.0045641175684808764,4.93561260497904
17,races,varieties,0.0046139426584212405,4.931048487410559
18,when,if,0.004763427842353393,4.926434544752137
19,(,than,0.004873414402153111,4.921671116909786
20,believe,do,0.0049498222332083185,4.9167977025076315
21,great,my,0.005126188804946013,4.911847880274425
22,could,will,0.0056013485547203095,4.906721691469477
23,individuals,variation,0.005616969195067788,4.901120342914759
24,plants,facts,0.005690351254102492,4.895503373719693
25,:,between,0.00575598728214401,4.889813022465591
26,its,different,0.005812004625037274,4.884057035183449
27,In,The,0.005976428823747423,4.878245030558409
28,breeds,conditions,0.006070815316995323,4.872268601734667
29,slight,long,0.006272470950567232,4.86619778641767
30,these,each,0.006341510670282339,4.859925315467101
31,may,would,0.006574811563169234,4.853583804796819
32,any,very,0.0068283956796606135,4.847008993233651
33,most,many,0.006841210922396013,4.8401805975539895
34,often,so,0.007052457001314636,4.833339386631593
35,they,we,0.007133784495671417,4.826286929630279
36,differ,much,0.007268272740868761,4.819153145134608
37,see,believe,0.007761733830427114,4.8118848723937395
38,more,less,0.007964301957705163,4.804123138563312
39,there,it,0.008141855794034928,4.796158836605606
40,animals,cases,0.008022489415411333,4.788016980811571
41,certain,an,0.008263353461618085,4.779994491396157
42,must,may,0.00861486815607826,4.771731137934536
43,manner,wild,0.008615058602382878,4.763116269778457
44,all,how,0.009405070003457071,4.754501211176077
45,(,but,0.009567895041032816,4.745096141172621
46,case,breeds,0.009646334537111034,4.735528246131588
47,one,other,0.009720575454398962,4.725881911594479
48,great,our,0.009772979514822382,4.716161336140079
49,at,me,0.009940644158678793,4.706388356625257
50,some,these,0.010203791266928972,4.696447712466582
51,several,its,0.010270554438372244,4.68624392119965
52,species,races,0.010784620702051499,4.67597336676128
53,under,:,0.011353988090197633,4.665188746059226
54,for,when,0.011383322219228081,4.653834757969025
55,any,their,0.011691206628487346,4.642451435749799
56,animals,plants,0.011894394954275802,4.630760229121314
57,domestic,manner,0.011786983113229916,4.61886583416704
58,most,same,0.012663922413863443,4.607078851053811
59,could,must,0.012720341805269864,4.5944149286399485
60,by,with,0.014083016627558235,4.58169458683468
61,often,not,0.014298308862549132,4.56761157020712
62,case,individuals,0.015156280484622477,4.55331326134457
63,they,I,0.015232411343568513,4.538156980859948
64,slight,more,0.01531690964915253,4.522924569516376
65,all,differ,0.016061777328767436,4.507607659867226
66,certain,several,0.016533855600104695,4.491545882538451
67,has,is,0.016744824306466496,4.475012026938346
68,which,this,0.016745833985852887,4.4582672026318795
69,(,as,0.01734952657445772,4.441521368646028
70,on,at,0.017628284880886882,4.424171842071571
71,animals,species,0.018290427730748668,4.406543557190682
72,see,have,0.018166948617218036,4.388253129459932
73,often,been,0.018452924337823653,4.370086180842718
74,some,any,0.01971233131606493,4.351633256504896
75,most,one,0.02015389254803633,4.331920925188833
76,under,from,0.021269617173331354,4.311767032640796
77,they,there,0.02152220858964189,4.290497415467463
78,or,for,0.021837641219239083,4.268975206877823
79,great,certain,0.023490613163244304,4.247137565658577
80,In,are,0.02394620321156774,4.223646952495331
81,slight,domestic,0.028501082847624037,4.1997007492837675
82,animals,case,0.02874316040571449,4.171199666436141
83,see,has,0.0289044272096717,4.1424565060304275
84,some,a,0.029237863117324802,4.113552078820754
85,or,(,0.029323807139398837,4.084314215703432
86,all,which,0.029480566249220002,4.054990408564029
87,by,that,0.029414334083039017,4.025509842314811
88,often,be,0.034019824736969566,3.9960955082317753
89,under,on,0.03444439927397576,3.9620756834948048
90,see,could,0.03511052224974108,3.927631284220826
91,most,great,0.03765107835232844,3.8925207619710775
92,In,;,0.038412681102563385,3.8548696836187566
93,in,under,0.04821999715215706,3.816457002516193
94,by,all,0.050217854398478284,3.7682370053640524
95,and,or,0.05228084075562342,3.718019150965577
96,most,slight,0.05644448844843522,3.6657383102099526
97,to,often,0.06492885617132525,3.609293821761518
98,some,the,0.06738929597266068,3.544364965590212
99,In,they,0.0769454869604698,3.4769756696175445
100,of,in,0.09277940334117141,3.400030182657082
101,most,animals,0.08948236517980215,3.3072507793159063
102,see,to,0.1024748256534755,3.217768414136112
103,and,by,0.10271169517773596,3.1152935884826287
104,",",.,0.11958586270613739,3.0125818933048825
105,and,In,0.11398493416963541,2.8929960305987596
106,most,some,0.18938388761316177,2.7790110964291275
107,see,and,0.19353511743593935,2.589627208815985
108,",",of,0.2261173443343542,2.396092091380051
109,see,most,0.30032981475690346,2.1699747470456994
110,",",see,0.43815216162179804,1.8696449322887743
